ID	AFR	EUR	AMR
RP-1847_10041769	0	2	0
RP-1847_10041788	0	2	0
RP-1847_10041985	1	1	0
RP-1847_10041996	2	0	0
RP-1847_10042001	1	1	0
RP-1847_10042002	0	1	1
RP-1847_10042005	0	2	0
RP-1847_10042012	2	0	0
RP-1847_10042014	0	2	0
RP-1847_10042083	0	0	2
RP-1847_10042129	2	0	0
RP-1847_10042196	1	1	0
RP-1847_10042197	0	1	1
RP-1847_10042238	0	2	0
RP-1847_10042270	2	0	0
RP-1847_10042273	1	1	0
RP-1847_10042383	2	0	0
RP-1847_10042419	0	2	0
RP-1847_10042454	2	0	0
RP-1847_10042482	1	1	0
RP-1847_10042502	0	2	0
RP-1847_10042517	0	2	0
RP-1847_10042595	2	0	0
RP-1847_10042610	2	0	0
RP-1847_10042646	0	2	0
RP-1847_10042679	1	1	0
RP-1847_10042681	2	0	0
RP-1847_10042810	0	1	1
RP-1847_10043105	0	2	0
RP-1847_10043125	2	0	0
RP-1847_10043256	0	2	0
RP-1847_10043276	2	0	0
RP-1847_10043426	2	0	0
RP-1847_10043439	2	0	0
RP-1847_10043461	2	0	0
RP-1847_10043541	1	1	0
RP-1847_10043543	2	0	0
RP-1847_10043576	1	1	0
RP-1847_10043614	2	0	0
RP-1847_10043621	0	1	1
RP-1847_10043718	2	0	0
RP-1847_10043809	2	0	0
RP-1847_10043829	0	0	2
RP-1847_10043834	0	2	0
RP-1847_10043840	0	2	0
RP-1847_10043902	0	2	0
RP-1847_10043953	2	0	0
RP-1847_10043959	0	1	1
RP-1847_10043977	2	0	0
RP-1847_10043979	0	2	0
RP-1847_10043998	0	2	0
RP-1847_10044065	2	0	0
RP-1847_10044067	1	1	0
RP-1847_10044077	0	0	2
RP-1847_10044180	0	1	1
RP-1847_10044196	0	2	0
RP-1847_10044235	1	1	0
RP-1847_10044290	0	2	0
RP-1847_10044296	1	1	0
RP-1847_10044336	0	1	1
RP-1847_10044338	0	0	2
RP-1847_10044382	0	2	0
RP-1847_10044513	1	1	0
RP-1847_10044524	2	0	0
RP-1847_10044566	0	2	0
RP-1847_10044625	2	0	0
RP-1847_10044682	2	0	0
RP-1847_10044705	2	0	0
RP-1847_10044788	0	2	0
RP-1847_10045034	2	0	0
RP-1847_10045039	0	2	0
RP-1847_10045117	0	2	0
RP-1847_10045129	0	2	0
RP-1847_10045148	1	1	0
RP-1847_10045275	0	2	0
RP-1847_10045301	1	1	0
RP-1847_10045318	2	0	0
RP-1847_10045435	2	0	0
RP-1847_10045442	1	1	0
RP-1847_10045483	2	0	0
RP-1847_10045484	0	0	2
RP-1847_10045489	2	0	0
RP-1847_10045495	2	0	0
RP-1847_10045528	1	1	0
RP-1847_10045554	2	0	0
RP-1847_10045606	0	2	0
RP-1847_10045607	2	0	0
RP-1847_10045615	0	2	0
